date,rain_mm,runoff_mm,drainage_mm,soil_evap_mm,transp_mm,et_mm,erosion_t_ha,yield_t_ha
1975,707.7,35.37485547028894,87.10607542309577,287.5684585664502,241.81122503623655,529.3796836026868,0.618525615307413,2.902
1976,655.1,20.282206835692023,88.58648825593608,376.2084544206193,299.160907861899,675.3693622825183,0.46934450206963374,3.59
1977,544.0,11.298907219818867,23.868298286531882,319.7564450532801,179.3841742817147,499.1406193349948,0.34983743848271426,2.153
1978,818.6,10.04886977738568,73.86199239219516,372.8602785294363,309.3747073101004,682.2349858395366,0.21564216721167379,3.712
1979,730.3,66.37017572785237,93.02179626556006,360.80261101577844,239.6343162890071,600.4369273047855,5.295127595804764,2.876
1980,530.2,1.88419265838485,5.691548398206891,310.94506738570556,207.59985160732242,518.544918993028,0.08927258057060897,2.491
1981,1031.5,191.4618547176086,184.9666832254646,352.99722673407473,215.25431314711847,568.2515398811931,4.2751294464542475,2.583
1982,408.2,3.9648153024275077,57.56490223389517,275.8735470401089,148.79706867910858,424.6706157192175,0.02569193664824661,1.786
1983,1023.4,138.25156295102414,238.15088497353048,350.1899959823294,231.98220993101916,582.1722059133485,6.068025870853354,2.784
1984,847.9,52.65199513361471,120.7004470836122,405.5698625751848,318.2713678197804,723.8412303949652,1.0110169782747838,3.819
1985,529.6,0.09128858888544433,0.0,372.8117970671991,193.9966747837012,566.8084718509002,0.0,2.328
1986,518.0,7.357920875303435,0.0,348.5706143266395,196.5930880869814,545.1637024136209,0.17384813408449012,2.359
1987,598.3,2.1966284065334687,5.640109382570415,337.33637670073864,246.45403670043112,583.7904134011698,0.047649067542567675,2.957
1988,1042.6,163.94842208817852,287.35329821151424,347.9981472266407,213.51480196482484,561.5129491914655,3.54738003556409,2.562
1989,848.1,96.24694491730259,134.06917068540767,381.3517071517424,212.45328913745195,593.8049962891944,1.8811718921679224,2.549
1990,693.6,92.46943484233874,180.72601461518227,330.5274128690357,208.19207263298588,538.7194855020216,2.420170605171612,2.498
1991,453.0,7.15922683031134,15.357978724858611,258.7720288192283,121.04530077868705,379.8173295979154,0.11913880645143955,1.453
1992,526.5,18.840772864566148,51.83338466194897,345.90013499651934,172.49568800727278,518.3958230037921,0.3525278491876074,2.07
1993,502.3,4.38461061091161,6.463124428739462,298.4852742690042,113.66196904216767,412.1472433111719,0.07542091608812418,1.364
1994,513.5,101.30773540362841,113.25826473246522,280.30625934787395,130.7544784064964,411.06073775437034,1.9026440478814264,1.569
1995,793.3,38.93714154785927,57.11814064009229,371.34210618221346,218.29055663531983,589.6326628175333,1.5240519545774722,2.619
1996,810.5,98.55301793096655,211.87204319678122,345.4878699918598,189.5306659102077,535.0185359020675,2.0689123206833457,2.274
1997,497.1,3.6295449262176516,6.719918539427766,308.75427056595606,227.77909319616077,536.5333637621168,0.14168425214853314,2.733
1998,733.2,25.926910668563217,91.18021832608176,347.1543541491589,253.05045802559764,600.2048121747565,0.566739569187371,3.037
1999,684.1,57.608363593751925,119.9875017916761,327.30474855838753,167.93322875137852,495.23797730976605,1.0629588208451093,2.015
2000,399.1,20.74612709664527,37.937607787183424,281.8733118658754,147.7169401917656,429.59025205764095,0.5486000507681901,1.773
