date,rain_mm,runoff_mm,drainage_mm,soil_evap_mm,transp_mm,et_mm,erosion_t_ha,yield_t_ha
1975,707.7,237.5004673844626,0.0,234.25379406638564,292.54069604191386,526.7944901082994,38.616691014697636,3.51
1976,655.1,113.80663078037017,0.0,287.2959472973454,307.48006313293286,594.7760104302782,17.71451393442397,3.69
1977,544.0,126.75989942431583,0.0,254.50044173493092,157.38737425282872,411.8878159877596,26.644178142947254,1.889
1978,818.6,147.36481644997994,0.0,313.50025128105904,320.8447738987796,634.3450251798387,23.460531509507863,3.85
1979,730.3,207.95799814712757,0.0,278.68355166062736,244.00798229533277,522.6915339559602,39.06593164082226,2.928
1980,530.2,58.37013336731804,0.0,275.24975742766816,195.39542135662123,470.6451787842894,10.933048933272449,2.345
1981,1031.5,482.90494955627645,0.0,283.1453736986616,233.32994798565454,516.4753216843161,95.65464141180804,2.8
1982,408.2,46.01548855402923,0.0,222.25101394307254,183.78114832366333,406.0321622667359,6.504891191941209,2.205
1983,1023.4,390.1786887924609,0.0,323.7413333630566,302.43399392047496,626.1753272835316,79.22013315031975,3.629
1984,847.9,230.57017063544953,0.0,309.9796098690593,319.04842731164524,629.0280371807046,34.139343232576785,3.829
1985,529.6,46.279192899513866,0.0,282.72848321128174,194.78199870134912,477.51048191263084,6.339613595051585,2.337
1986,518.0,106.17255755705682,0.0,233.01116517120528,186.3211322286204,419.3322973998257,22.237911662569598,2.236
1987,598.3,124.92898094085373,0.0,262.80171493856204,206.19631763728972,468.99803257585177,13.14499869030597,2.474
1988,1042.6,447.03421886805387,0.0,320.22525032687037,267.77224792173877,587.9974982486092,101.85533803073113,3.213
1989,848.1,288.45889476771873,0.0,312.5896457523026,239.45711317875876,552.0467589310614,63.40422649153785,2.873
1990,693.6,251.32427123584574,0.0,245.02393961242024,231.13810907309042,476.1620486855107,53.1021652428446,2.774
1991,453.0,100.93184150263764,0.0,212.3087864905426,116.0619140921405,328.37070058268307,21.344916951353653,1.393
1992,526.5,75.45637310672745,0.0,251.15036253452985,202.69490531727746,453.8452678518073,17.404814398887364,2.432
1993,502.3,117.53353688630773,0.0,235.87443237165198,140.9477490963863,376.82218146803825,13.498368219888638,1.691
1994,513.5,177.28366674780915,0.0,223.05957391400764,146.47302894420133,369.532602858209,45.630035282225464,1.758
1995,793.3,198.26569496867006,0.0,329.4628185051687,203.47519565765006,532.9380141628187,27.47451110746661,2.442
1996,810.5,245.22498906999613,0.0,285.36988506708997,302.17901968297326,587.5489047500632,58.7798976901214,3.626
1997,497.1,53.490633851872964,0.0,252.985382501318,207.88945136606014,460.8748338673782,6.866520792009194,2.495
1998,733.2,201.5447429693152,0.0,278.18738469289934,255.25175482648615,533.4391395193855,37.61250479068683,3.063
1999,684.1,166.81038871883024,0.0,295.606354736335,201.63464702539088,497.24100176172584,35.32349549492094,2.42
2000,399.1,58.314424257195995,0.0,197.1448805105971,170.66080061189382,367.8056811224909,13.18110052822518,2.048
